file_off	va	size	n_string_refs	top_subsystem	sample_anchor
0x000f21e0	0x710f21e0	736	0	uncategorized	
0x000f24c0	0x710f24c0	736	0	uncategorized	
0x000f27a0	0x710f27a0	1268	0	uncategorized	
0x000f2c94	0x710f2c94	188	0	uncategorized	
0x000f2d50	0x710f2d50	256	2	misc	Length must be multiple of sectors!
0x000f2e50	0x710f2e50	260	2	misc	Length must be multiple of sectors!
0x000f2f54	0x710f2f54	7484	10	libstdcxx	Failed to export exponentiated RSA messa
0x000f4c90	0x710f4c90	2560	0	uncategorized	
0x000f5690	0x710f5690	256	0	uncategorized	
0x000f5790	0x710f5790	164	0	uncategorized	
0x000f5834	0x710f5834	128	0	uncategorized	
0x000f58b4	0x710f58b4	284	3	misc	Invalid UTF-8
0x000f59d0	0x710f59d0	80	0	uncategorized	
0x000f5a20	0x710f5a20	80	0	uncategorized	
0x000f5a70	0x710f5a70	64	0	uncategorized	
0x000f5ab0	0x710f5ab0	372	1	misc	%u;%u;%u%n
0x000f5c24	0x710f5c24	32	1	libstdcxx	basic_string::_M_create
0x000f5c44	0x710f5c44	196	0	uncategorized	
0x000f5d08	0x710f5d08	1496	0	uncategorized	
0x000f62e0	0x710f62e0	1124	0	uncategorized	
0x000f6744	0x710f6744	84	0	uncategorized	
0x000f6798	0x710f6798	400	0	uncategorized	
0x000f6928	0x710f6928	64	0	uncategorized	
0x000f6968	0x710f6968	360	0	uncategorized	
0x000f6ad0	0x710f6ad0	192	0	uncategorized	
0x000f6b90	0x710f6b90	2080	5	libstdcxx	0001020304050607080910111213141516171819
0x000f73b0	0x710f73b0	1008	0	uncategorized	
0x000f77a0	0x710f77a0	208	0	uncategorized	
0x000f7870	0x710f7870	652	0	uncategorized	
0x000f7afc	0x710f7afc	148	1	misc	{:.{}f} {:s}
0x000f7b90	0x710f7b90	756	1	misc	0123456789ABCDEF
0x000f7e84	0x710f7e84	428	0	uncategorized	
0x000f8030	0x710f8030	336	0	uncategorized	
0x000f8180	0x710f8180	1232	11	misc	[%dD%n
0x000f8650	0x710f8650	1204	11	misc	[%dA%n
0x000f8b04	0x710f8b04	204	2	misc	{:02d}:{:02d}:{:06.3f}
0x000f8bd0	0x710f8bd0	448	2	libstdcxx	basic_string::append
0x000f8d90	0x710f8d90	1376	5	libstdcxx	basic_string::_M_create
0x000f92f0	0x710f92f0	288	0	uncategorized	
0x000f9410	0x710f9410	368	0	uncategorized	
0x000f9580	0x710f9580	224	0	uncategorized	
0x000f9660	0x710f9660	224	0	uncategorized	
0x000f9740	0x710f9740	912	3	libstdcxx	basic_string::append
0x000f9ad0	0x710f9ad0	224	1	libstdcxx	vector::_M_realloc_append
0x000f9bb0	0x710f9bb0	320	2	libstdcxx	basic_string_view::substr
0x000f9cf0	0x710f9cf0	320	0	uncategorized	
0x000f9e30	0x710f9e30	464	0	uncategorized	
0x000fa000	0x710fa000	264	1	libstdcxx	vector::_M_realloc_append
0x000fa108	0x710fa108	520	4	libstdcxx	basic_string_view::substr
0x000fa310	0x710fa310	224	0	uncategorized	
0x000fa3f0	0x710fa3f0	464	0	uncategorized	
0x000fa5c0	0x710fa5c0	1040	5	libstdcxx	basic_string::_M_create
0x000fa9d0	0x710fa9d0	928	0	uncategorized	
0x000fad70	0x710fad70	1072	4	libstdcxx	basic_string: construction from null is 
0x000fb1a0	0x710fb1a0	672	2	libstdcxx	basic_string::substr
0x000fb440	0x710fb440	1264	2	libstdcxx	basic_string::substr
0x000fb930	0x710fb930	208	0	uncategorized	
0x000fba00	0x710fba00	96	0	uncategorized	
0x000fba60	0x710fba60	160	0	uncategorized	
0x000fbb00	0x710fbb00	352	0	uncategorized	
0x000fbc60	0x710fbc60	336	2	libstdcxx	basic_string::substr
0x000fbdb0	0x710fbdb0	7088	10	libstdcxx	basic_string::append
0x000fd960	0x710fd960	3728	0	uncategorized	
0x000fe7f0	0x710fe7f0	2336	0	uncategorized	
0x000ff110	0x710ff110	560	2	libstdcxx	0123456789ABCDEF
0x000ff340	0x710ff340	2336	0	uncategorized	
0x000ffc60	0x710ffc60	2208	0	uncategorized	
0x00100500	0x71100500	2576	0	uncategorized	
0x00100f10	0x71100f10	2416	0	uncategorized	
0x00101880	0x71101880	1872	0	uncategorized	
0x00101fd0	0x71101fd0	2016	0	uncategorized	
0x001027b0	0x711027b0	864	0	uncategorized	
0x00102b10	0x71102b10	48	0	uncategorized	
0x00102b40	0x71102b40	48	0	uncategorized	
0x00102b70	0x71102b70	560	2	libstdcxx	0123456789ABCDEF
0x00102da0	0x71102da0	752	1	libstdcxx	basic_string::append
0x00103090	0x71103090	9280	0	uncategorized	
0x001054d0	0x711054d0	1808	0	uncategorized	
0x00105be0	0x71105be0	1552	0	uncategorized	
0x001061f0	0x711061f0	3552	0	uncategorized	
0x00106fd0	0x71106fd0	1088	0	uncategorized	
0x00107410	0x71107410	1552	0	uncategorized	
0x00107a20	0x71107a20	1232	0	uncategorized	
0x00107ef0	0x71107ef0	4032	0	uncategorized	
0x00108eb0	0x71108eb0	6544	0	uncategorized	
0x0010a840	0x7110a840	2604	0	uncategorized	
0x0010b26c	0x7110b26c	120	0	uncategorized	
0x0010b2e4	0x7110b2e4	188	0	uncategorized	
0x0010b3a0	0x7110b3a0	208	2	libstdcxx	basic_string_view::substr
0x0010b470	0x7110b470	224	2	libstdcxx	basic_string_view::substr
0x0010b550	0x7110b550	224	2	libstdcxx	basic_string_view::substr
0x0010b630	0x7110b630	352	2	libstdcxx	basic_string_view::substr
0x0010b790	0x7110b790	160	0	uncategorized	
0x0010b830	0x7110b830	544	0	uncategorized	
0x0010ba50	0x7110ba50	192	0	uncategorized	
0x0010bb10	0x7110bb10	240	0	uncategorized	
0x0010bc00	0x7110bc00	332	0	uncategorized	
0x0010bd4c	0x7110bd4c	56	0	uncategorized	
0x0010bd84	0x7110bd84	352	0	uncategorized	
0x0010bee4	0x7110bee4	348	0	uncategorized	
0x0010c040	0x7110c040	2320	2	misc	romfs.bin
0x0010c950	0x7110c950	304	0	uncategorized	
0x0010ca80	0x7110ca80	10656	20	libstdcxx	basic_string::append
0x0010f420	0x7110f420	832	2	libstdcxx	basic_string_view::substr
0x0010f760	0x7110f760	688	2	atmosphere	{:016x}
0x0010fa10	0x7110fa10	112	0	uncategorized	
0x0010fa80	0x7110fa80	256	2	libstdcxx	basic_string::substr
0x0010fb80	0x7110fb80	464	4	libstdcxx	basic_string::append
0x0010fd50	0x7110fd50	5076	9	libstdcxx	basic_string::append
0x00111124	0x71111124	152	0	uncategorized	
0x001111bc	0x711111bc	100	0	uncategorized	
0x00111220	0x71111220	448	0	uncategorized	
0x001113e0	0x711113e0	352	0	uncategorized	
0x00111540	0x71111540	1248	1	libstdcxx	vector::_M_realloc_append
0x00111a20	0x71111a20	384	1	libstdcxx	cannot create std::vector larger than ma
0x00111ba0	0x71111ba0	2684	3	libstdcxx	map::at
0x0011261c	0x7111261c	244	0	uncategorized	
0x00112710	0x71112710	912	0	uncategorized	
0x00112aa0	0x71112aa0	800	0	uncategorized	
0x00112dc0	0x71112dc0	380	0	uncategorized	
0x00112f3c	0x71112f3c	132	0	uncategorized	
0x00112fc0	0x71112fc0	1204	0	uncategorized	
0x00113474	0x71113474	188	0	uncategorized	
0x00113530	0x71113530	480	0	uncategorized	
0x00113710	0x71113710	992	1	libstdcxx	vector::_M_realloc_append
0x00113af0	0x71113af0	880	0	uncategorized	
0x00113e60	0x71113e60	484	1	libstdcxx	vector::_M_realloc_append
0x00114044	0x71114044	60	0	uncategorized	
0x00114080	0x71114080	656	0	uncategorized	
0x00114310	0x71114310	416	0	uncategorized	
0x001144b0	0x711144b0	492	0	uncategorized	
0x0011469c	0x7111469c	256	0	uncategorized	
0x0011479c	0x7111479c	304	0	uncategorized	
0x001148cc	0x711148cc	240	0	uncategorized	
0x001149bc	0x711149bc	336	0	uncategorized	
0x00114b0c	0x71114b0c	560	0	uncategorized	
0x00114d3c	0x71114d3c	120	0	uncategorized	
0x00114db4	0x71114db4	404	0	uncategorized	
0x00114f48	0x71114f48	392	0	uncategorized	
0x001150d0	0x711150d0	1604	5	libstdcxx	 Profile
0x00115714	0x71115714	1404	2	libstdcxx	AAC (Object Type
0x00115c90	0x71115c90	1168	4	libstdcxx	Unknown (
0x00116120	0x71116120	1152	4	libstdcxx	Unknown (
0x001165a0	0x711165a0	4612	0	uncategorized	
0x001177a4	0x711177a4	140	0	uncategorized	
0x00117830	0x71117830	80	0	uncategorized	
0x00117880	0x71117880	548	0	uncategorized	
0x00117aa4	0x71117aa4	188	0	uncategorized	
0x00117b60	0x71117b60	112	0	uncategorized	
0x00117bd0	0x71117bd0	176	0	uncategorized	
0x00117c80	0x71117c80	180	0	uncategorized	
0x00117d34	0x71117d34	204	1	libstdcxx	basic_string: construction from null is 
0x00117e00	0x71117e00	144	0	uncategorized	
0x00117e90	0x71117e90	240	0	uncategorized	
0x00117f80	0x71117f80	208	0	uncategorized	
0x00118050	0x71118050	512	0	uncategorized	
0x00118250	0x71118250	240	1	libstdcxx	vector::_M_realloc_append
0x00118340	0x71118340	1104	1	libstdcxx	vector::_M_realloc_append
0x00118790	0x71118790	352	1	libstdcxx	vector::_M_realloc_append
0x001188f0	0x711188f0	272	1	libstdcxx	vector::_M_realloc_append
0x00118a00	0x71118a00	7008	15	libstdcxx	Unexpected error
0x0011a560	0x7111a560	6816	16	libstdcxx	basic_string::append
0x0011c000	0x7111c000	10288	22	libstdcxx	control
0x0011e830	0x7111e830	14340	24	libstdcxx	basic_string::append
0x00122034	0x71122034	8668	9	libstdcxx	Program
0x00124210	0x71124210	144	0	uncategorized	
0x001242a0	0x711242a0	208	0	uncategorized	
0x00124370	0x71124370	172	0	uncategorized	
0x0012441c	0x7112441c	144	0	uncategorized	
0x001244ac	0x711244ac	196	0	uncategorized	
0x00124570	0x71124570	96	0	uncategorized	
0x001245d0	0x711245d0	272	0	uncategorized	
0x001246e0	0x711246e0	696	0	uncategorized	
0x00124998	0x71124998	92	0	uncategorized	
0x001249f4	0x711249f4	396	0	uncategorized	
0x00124b80	0x71124b80	280	0	uncategorized	
0x00124c98	0x71124c98	136	0	uncategorized	
0x00124d20	0x71124d20	228	2	libstdcxx	basic_string::append
0x00124e04	0x71124e04	380	0	uncategorized	
0x00124f80	0x71124f80	416	0	uncategorized	
0x00125120	0x71125120	160	0	uncategorized	
0x001251c0	0x711251c0	160	0	uncategorized	
0x00125260	0x71125260	176	1	libstdcxx	basic_string::append
0x00125310	0x71125310	372	0	uncategorized	
0x00125484	0x71125484	640	0	uncategorized	
0x00125704	0x71125704	896	0	uncategorized	
0x00125a84	0x71125a84	204	1	libstdcxx	basic_string: construction from null is 
0x00125b50	0x71125b50	240	1	libstdcxx	basic_string: construction from null is 
0x00125c40	0x71125c40	288	0	uncategorized	
0x00125d60	0x71125d60	192	0	uncategorized	
0x00125e20	0x71125e20	128	0	uncategorized	
0x00125ea0	0x71125ea0	4688	16	libstdcxx	0123456789ABCDEF
0x001270f0	0x711270f0	128	0	uncategorized	
0x00127170	0x71127170	160	0	uncategorized	
0x00127210	0x71127210	176	0	uncategorized	
0x001272c0	0x711272c0	344	0	uncategorized	
0x00127418	0x71127418	72	0	uncategorized	
0x00127460	0x71127460	576	0	uncategorized	
0x001276a0	0x711276a0	1376	0	uncategorized	
0x00127c00	0x71127c00	112	0	uncategorized	
0x00127c70	0x71127c70	240	0	uncategorized	
0x00127d60	0x71127d60	352	0	uncategorized	
0x00127ec0	0x71127ec0	144	0	uncategorized	
0x00127f50	0x71127f50	416	0	uncategorized	
0x001280f0	0x711280f0	10224	15	libstdcxx	MemoryFile
0x0012a8e0	0x7112a8e0	752	0	uncategorized	
0x0012abd0	0x7112abd0	224	2	misc	override_config
0x0012acb0	0x7112acb0	224	2	misc	override_config
0x0012ad90	0x7112ad90	288	1	misc	Unknown
0x0012aeb0	0x7112aeb0	288	1	misc	Unknown
0x0012afd0	0x7112afd0	784	0	uncategorized	
0x0012b2e0	0x7112b2e0	816	0	uncategorized	
0x0012b610	0x7112b610	320	4	misc	override_config
0x0012b750	0x7112b750	5712	8	libstdcxx	override_config
0x0012cda0	0x7112cda0	64	0	uncategorized	
0x0012cde0	0x7112cde0	176	0	uncategorized	
0x0012ce90	0x7112ce90	224	0	uncategorized	
0x0012cf70	0x7112cf70	224	0	uncategorized	
0x0012d050	0x7112d050	23840	34	libstdcxx	basic_string::append
0x00132d70	0x71132d70	8912	23	libstdcxx	basic_string::append
0x00135040	0x71135040	1168	0	uncategorized	
0x001354d0	0x711354d0	96	0	uncategorized	
0x00135530	0x71135530	22352	52	libstdcxx	basic_string::append
0x0013ac80	0x7113ac80	2428	3	libstdcxx	0001020304050607080910111213141516171819
0x0013b5fc	0x7113b5fc	100	0	uncategorized	
0x0013b660	0x7113b660	752	7	libstdcxx	map::at
0x0013b950	0x7113b950	1216	10	libstdcxx	0123456789ABCDEF
0x0013be10	0x7113be10	1376	8	libstdcxx	0123456789ABCDEF
0x0013c370	0x7113c370	292	0	uncategorized	
0x0013c494	0x7113c494	76	0	uncategorized	
0x0013c4e0	0x7113c4e0	1360	3	misc	zh-Hant
0x0013ca30	0x7113ca30	1936	1	misc	Not available
0x0013d1c0	0x7113d1c0	416	0	uncategorized	
0x0013d360	0x7113d360	416	0	uncategorized	
0x0013d500	0x7113d500	960	1	libstdcxx	cannot create std::deque larger than max
0x0013d8c0	0x7113d8c0	720	0	uncategorized	
0x0013db90	0x7113db90	18736	38	libstdcxx	cannot create std::vector larger than ma
0x001424c0	0x711424c0	2704	2	misc	\[([0-9a-fA-F]{16})\]
0x00142f50	0x71142f50	144	0	uncategorized	
0x00142fe0	0x71142fe0	9152	4	libstdcxx	nintendosdk_(.*?)-(\d+)_(\d+)_(\d+)-rele
0x001453a0	0x711453a0	160	0	uncategorized	
0x00145440	0x71145440	432	2	misc	General
0x001455f0	0x711455f0	192	0	uncategorized	
0x001456b0	0x711456b0	240	0	uncategorized	
0x001457a0	0x711457a0	2528	21	libstdcxx	0001020304050607080910111213141516171819
0x00146180	0x71146180	64	0	uncategorized	
0x001461c0	0x711461c0	712	1	misc	0001020304050607080910111213141516171819
0x00146488	0x71146488	104	1	misc	Unreachable
0x001464f0	0x711464f0	288	4	libstdcxx	vector::_M_range_check: __n (which is %z
0x00146610	0x71146610	368	0	uncategorized	
0x00146780	0x71146780	208	0	uncategorized	
0x00146850	0x71146850	192	0	uncategorized	
0x00146910	0x71146910	224	2	libstdcxx	vector::_M_range_check: __n (which is %z
0x001469f0	0x711469f0	888	4	libstdcxx	Mask value out of range
0x00146d68	0x71146d68	88	1	misc	Version number out of range
0x00146dc0	0x71146dc0	784	5	libstdcxx	Invalid argument
0x001470d0	0x711470d0	1008	0	uncategorized	
0x001474c0	0x711474c0	128	0	uncategorized	
0x00147540	0x71147540	496	2	libstdcxx	vector::_M_range_check: __n (which is %z
0x00147730	0x71147730	204	0	uncategorized	
0x001477fc	0x711477fc	68	0	uncategorized	
0x00147840	0x71147840	176	1	misc	Invalid value
0x001478f0	0x711478f0	400	0	uncategorized	
0x00147a80	0x71147a80	112	0	uncategorized	
0x00147af0	0x71147af0	736	2	libstdcxx	vector::_M_realloc_insert
0x00147dd0	0x71147dd0	528	0	uncategorized	
0x00147fe0	0x71147fe0	912	1	misc	vector<bool>::_M_insert_aux
0x00148370	0x71148370	272	1	misc	Value out of range
0x00148480	0x71148480	320	1	misc	Data too long
0x001485c0	0x711485c0	528	1	misc	String contains non-numeric characters
0x001487d0	0x711487d0	608	1	misc	String contains unencodable characters i
0x00148a30	0x71148a30	416	1	libstdcxx	vector::_M_realloc_append
0x00148bd0	0x71148bd0	176	1	libstdcxx	vector::_M_realloc_append
0x00148c80	0x71148c80	512	2	libstdcxx	vector::_M_range_check: __n (which is %z
0x00148e80	0x71148e80	1936	7	libstdcxx	cannot create std::vector larger than ma
0x00149610	0x71149610	740	0	uncategorized	
0x001498f4	0x711498f4	76	0	uncategorized	
0x00149940	0x71149940	1536	3	libstdcxx	Mask value out of range
0x00149f40	0x71149f40	2400	10	libstdcxx	Segment too long
0x0014a8a0	0x7114a8a0	1664	0	uncategorized	
0x0014af20	0x7114af20	652	0	uncategorized	
0x0014b1ac	0x7114b1ac	408	0	uncategorized	
0x0014b344	0x7114b344	276	0	uncategorized	
0x0014b458	0x7114b458	92	0	uncategorized	
0x0014b4b4	0x7114b4b4	188	0	uncategorized	
0x0014b570	0x7114b570	496	1	libstdcxx	basic_string::append
0x0014b760	0x7114b760	228	2	libstdcxx	basic_string::append
0x0014b844	0x7114b844	380	0	uncategorized	
0x0014b9c0	0x7114b9c0	420	0	uncategorized	
0x0014bb64	0x7114bb64	380	0	uncategorized	
0x0014bce0	0x7114bce0	596	0	uncategorized	
0x0014bf34	0x7114bf34	124	0	uncategorized	
0x0014bfb0	0x7114bfb0	208	0	uncategorized	
0x0014c080	0x7114c080	176	1	libstdcxx	basic_string::append
0x0014c130	0x7114c130	244	0	uncategorized	
0x0014c224	0x7114c224	648	0	uncategorized	
0x0014c4ac	0x7114c4ac	276	0	uncategorized	
0x0014c5c0	0x7114c5c0	272	0	uncategorized	
0x0014c6d0	0x7114c6d0	372	0	uncategorized	
0x0014c844	0x7114c844	204	1	libstdcxx	basic_string: construction from null is 
0x0014c910	0x7114c910	240	1	libstdcxx	basic_string: construction from null is 
0x0014ca00	0x7114ca00	352	0	uncategorized	
0x0014cb60	0x7114cb60	624	0	uncategorized	
0x0014cdd0	0x7114cdd0	464	1	misc	0001020304050607080910111213141516171819
0x0014cfa0	0x7114cfa0	288	0	uncategorized	
0x0014d0c0	0x7114d0c0	256	0	uncategorized	
0x0014d1c0	0x7114d1c0	496	1	misc	.dbi_save_extra
0x0014d3b0	0x7114d3b0	4800	12	libstdcxx	General
0x0014e670	0x7114e670	288	0	uncategorized	
0x0014e790	0x7114e790	252	0	uncategorized	
0x0014e88c	0x7114e88c	240	0	uncategorized	
0x0014e97c	0x7114e97c	212	0	uncategorized	
0x0014ea50	0x7114ea50	416	0	uncategorized	
0x0014ebf0	0x7114ebf0	25808	60	libstdcxx	basic_string::append
0x001550c0	0x711550c0	320	0	uncategorized	
0x00155200	0x71155200	400	0	uncategorized	
0x00155390	0x71155390	416	0	uncategorized	
0x00155530	0x71155530	480	0	uncategorized	
0x00155710	0x71155710	640	0	uncategorized	
0x00155990	0x71155990	380	0	uncategorized	
0x00155b0c	0x71155b0c	324	0	uncategorized	
0x00155c50	0x71155c50	960	0	uncategorized	
0x00156010	0x71156010	680	0	uncategorized	
0x001562b8	0x711562b8	840	0	uncategorized	
0x00156600	0x71156600	1232	0	uncategorized	
0x00156ad0	0x71156ad0	2416	0	uncategorized	
0x00157440	0x71157440	680	0	uncategorized	
0x001576e8	0x711576e8	840	0	uncategorized	
0x00157a30	0x71157a30	1232	0	uncategorized	
0x00157f00	0x71157f00	2416	0	uncategorized	
0x00158870	0x71158870	1408	4	save_backup	General
0x00158df0	0x71158df0	400	1	libstdcxx	vector::_M_realloc_append
0x00158f80	0x71158f80	448	0	uncategorized	
0x00159140	0x71159140	448	1	libstdcxx	vector::_M_realloc_append
0x00159300	0x71159300	144	0	uncategorized	
0x00159390	0x71159390	1664	4	libstdcxx	0123456789ABCDEF
0x00159a10	0x71159a10	992	1	libstdcxx	basic_string: construction from null is 
0x00159df0	0x71159df0	416	0	uncategorized	
0x00159f90	0x71159f90	448	0	uncategorized	
0x0015a150	0x7115a150	15904	25	libstdcxx	.dbi_save_info.ini
0x0015df70	0x7115df70	8800	2	libstdcxx	map::at
0x001601d0	0x711601d0	208	0	uncategorized	
0x001602a0	0x711602a0	336	0	uncategorized	
0x001603f0	0x711603f0	3424	2	misc	BackupDate
0x00161150	0x71161150	528	1	libstdcxx	vector::_M_realloc_append
0x00161360	0x71161360	17856	27	libstdcxx	0123456789ABCDEF
0x00165920	0x71165920	27072	42	libstdcxx	.dbi_save_info.ini
0x0016c2e0	0x7116c2e0	884	0	uncategorized	
0x0016c654	0x7116c654	188	0	uncategorized	
0x0016c710	0x7116c710	96	0	uncategorized	
0x0016c770	0x7116c770	480	0	uncategorized	
0x0016c950	0x7116c950	176	0	uncategorized	
0x0016ca00	0x7116ca00	768	4	misc	Initialize timezone
0x0016cd00	0x7116cd00	224	2	misc	%Y%m%d%H%M%S
0x0016cde0	0x7116cde0	160	0	uncategorized	
0x0016ce80	0x7116ce80	464	0	uncategorized	
0x0016d050	0x7116d050	528	0	uncategorized	
0x0016d260	0x7116d260	480	0	uncategorized	
0x0016d440	0x7116d440	272	0	uncategorized	
0x0016d550	0x7116d550	464	0	uncategorized	
0x0016d720	0x7116d720	768	0	uncategorized	
0x0016da20	0x7116da20	800	3	libstdcxx	Content meta data size is too small!
0x0016dd40	0x7116dd40	192	0	uncategorized	
0x0016de00	0x7116de00	852	2	libstdcxx	vector::_M_range_insert
0x0016e154	0x7116e154	188	0	uncategorized	
0x0016e210	0x7116e210	652	0	uncategorized	
0x0016e49c	0x7116e49c	112	0	uncategorized	
0x0016e50c	0x7116e50c	100	0	uncategorized	
0x0016e570	0x7116e570	192	0	uncategorized	
0x0016e630	0x7116e630	128	0	uncategorized	
0x0016e6b0	0x7116e6b0	544	1	misc	%u;%u;%u%n
0x0016e8d0	0x7116e8d0	304	0	uncategorized	
0x0016ea00	0x7116ea00	128	0	uncategorized	
0x0016ea80	0x7116ea80	112	0	uncategorized	
0x0016eaf0	0x7116eaf0	192	0	uncategorized	
0x0016ebb0	0x7116ebb0	224	0	uncategorized	
0x0016ec90	0x7116ec90	384	2	misc	General
0x0016ee10	0x7116ee10	416	0	uncategorized	
0x0016efb0	0x7116efb0	368	2	misc	General
0x0016f120	0x7116f120	352	0	uncategorized	
0x0016f280	0x7116f280	320	0	uncategorized	
0x0016f3c0	0x7116f3c0	256	0	uncategorized	
0x0016f4c0	0x7116f4c0	480	0	uncategorized	
0x0016f6a0	0x7116f6a0	480	0	uncategorized	
0x0016f880	0x7116f880	592	0	uncategorized	
0x0016fad0	0x7116fad0	336	0	uncategorized	
0x0016fc20	0x7116fc20	776	0	uncategorized	
0x0016ff28	0x7116ff28	2152	7	misc	[%d;%d%c
0x00170790	0x71170790	304	0	uncategorized	
0x001708c0	0x711708c0	512	0	uncategorized	
0x00170ac0	0x71170ac0	1972	0	uncategorized	
0x00171274	0x71171274	492	0	uncategorized	
0x00171460	0x71171460	416	0	uncategorized	
0x00171600	0x71171600	880	1	libstdcxx	cannot create std::deque larger than max
0x00171970	0x71171970	256	1	libstdcxx	basic_string: construction from null is 
0x00171a70	0x71171a70	304	1	libstdcxx	basic_string: construction from null is 
0x00171ba0	0x71171ba0	1120	1	libstdcxx	cannot create std::deque larger than max
0x00172000	0x71172000	144	0	uncategorized	
0x00172090	0x71172090	144	0	uncategorized	
0x00172120	0x71172120	116	0	uncategorized	
0x00172194	0x71172194	92	0	uncategorized	
0x001721f0	0x711721f0	160	0	uncategorized	
0x00172290	0x71172290	816	1	libstdcxx	cannot create std::deque larger than max
0x001725c0	0x711725c0	976	3	libstdcxx	basic_string: construction from null is 
0x00172990	0x71172990	48	0	uncategorized	
0x001729c0	0x711729c0	48	0	uncategorized	
0x001729f0	0x711729f0	144	0	uncategorized	
0x00172a80	0x71172a80	208	0	uncategorized	
0x00172b50	0x71172b50	32	0	uncategorized	
0x00172b70	0x71172b70	128	0	uncategorized	
0x00172bf0	0x71172bf0	324	0	uncategorized	
0x00172d34	0x71172d34	3532	6	libstdcxx	gamecard.xci
0x00173b00	0x71173b00	128	0	uncategorized	
0x00173b80	0x71173b80	288	0	uncategorized	
0x00173ca0	0x71173ca0	1092	0	uncategorized	
0x001740e4	0x711740e4	308	0	uncategorized	
0x00174218	0x71174218	220	0	uncategorized	
0x001742f4	0x711742f4	492	0	uncategorized	
0x001744e0	0x711744e0	416	0	uncategorized	
0x00174680	0x71174680	1060	1	libstdcxx	cannot create std::deque larger than max
0x00174aa4	0x71174aa4	124	0	uncategorized	
0x00174b20	0x71174b20	2640	6	misc	General
0x00175570	0x71175570	472	0	uncategorized	
0x00175748	0x71175748	136	0	uncategorized	
0x001757d0	0x711757d0	784	0	uncategorized	
0x00175ae0	0x71175ae0	16816	11	libstdcxx	 is missing
0x00179c90	0x71179c90	1172	0	uncategorized	
0x0017a124	0x7117a124	216	0	uncategorized	
0x0017a1fc	0x7117a1fc	96	0	uncategorized	
0x0017a25c	0x7117a25c	104	0	uncategorized	
0x0017a2c4	0x7117a2c4	96	0	uncategorized	
0x0017a324	0x7117a324	60	0	uncategorized	
0x0017a360	0x7117a360	96	0	uncategorized	
0x0017a3c0	0x7117a3c0	124	0	uncategorized	
0x0017a43c	0x7117a43c	96	0	uncategorized	
0x0017a49c	0x7117a49c	68	0	uncategorized	
0x0017a4e0	0x7117a4e0	96	0	uncategorized	
0x0017a540	0x7117a540	144	0	uncategorized	
0x0017a5d0	0x7117a5d0	144	0	uncategorized	
0x0017a660	0x7117a660	144	0	uncategorized	
0x0017a6f0	0x7117a6f0	144	0	uncategorized	
0x0017a780	0x7117a780	208	0	uncategorized	
0x0017a850	0x7117a850	428	0	uncategorized	
0x0017a9fc	0x7117a9fc	368	0	uncategorized	
0x0017ab6c	0x7117ab6c	260	0	uncategorized	
0x0017ac70	0x7117ac70	400	0	uncategorized	
0x0017ae00	0x7117ae00	752	0	uncategorized	
0x0017b0f0	0x7117b0f0	344	0	uncategorized	
0x0017b248	0x7117b248	332	1	misc	Failed to read section
0x0017b394	0x7117b394	300	1	misc	Failed to read section
0x0017b4c0	0x7117b4c0	4148	1	misc	Invalid NCA magic
0x0017c4f4	0x7117c4f4	140	0	uncategorized	
0x0017c580	0x7117c580	792	0	uncategorized	
0x0017c898	0x7117c898	128	0	uncategorized	
0x0017c918	0x7117c918	72	0	uncategorized	
0x0017c960	0x7117c960	560	1	misc	RawNcaSubsection@
0x0017cb90	0x7117cb90	2016	0	uncategorized	
0x0017d370	0x7117d370	96	0	uncategorized	
0x0017d3d0	0x7117d3d0	944	2	misc	0001020304050607080910111213141516171819
0x0017d780	0x7117d780	896	2	libstdcxx	vector::_M_range_check: __n (which is %z
0x0017db00	0x7117db00	992	2	install	PFS0 section not found
0x0017dee0	0x7117dee0	1008	2	misc	/control.nacp
0x0017e2d0	0x7117e2d0	1184	3	misc	RomFS section not found
0x0017e770	0x7117e770	80	0	uncategorized	
0x0017e7c0	0x7117e7c0	580	0	uncategorized	
0x0017ea04	0x7117ea04	188	0	uncategorized	
0x0017eac0	0x7117eac0	112	0	uncategorized	
0x0017eb30	0x7117eb30	120	0	uncategorized	
0x0017eba8	0x7117eba8	684	1	libstdcxx	vector::_M_range_insert
0x0017ee54	0x7117ee54	380	0	uncategorized	
0x0017efd0	0x7117efd0	144	0	uncategorized	
0x0017f060	0x7117f060	144	0	uncategorized	
0x0017f0f0	0x7117f0f0	608	0	uncategorized	
0x0017f350	0x7117f350	176	0	uncategorized	
0x0017f400	0x7117f400	416	0	uncategorized	
0x0017f5a0	0x7117f5a0	208	0	uncategorized	
0x0017f670	0x7117f670	464	1	libstdcxx	vector::_M_realloc_append
0x0017f840	0x7117f840	208	0	uncategorized	
0x0017f910	0x7117f910	416	1	libstdcxx	vector::_M_realloc_append
0x0017fab0	0x7117fab0	2912	6	libstdcxx	.cnmt.nca
0x00180610	0x71180610	380	1	libstdcxx	vector::_M_realloc_append
0x0018078c	0x7118078c	324	1	libstdcxx	vector::_M_default_append
0x001808d0	0x711808d0	464	2	install	Access denied
0x00180aa0	0x71180aa0	32	0	uncategorized	
0x00180ac0	0x71180ac0	272	1	libstdcxx	basic_string: construction from null is 
0x00180bd0	0x71180bd0	240	0	uncategorized	
