addr	xrefs	len	value
710083fbf0	6	5	Debug
710083fbf8	5	14	FullPermission
710083fc08	10	6	Applet
710083fc10	5	13	Secure system
710083fc20	5	17	Non secure system
710083fc38	5	19	Address space 32Bit
710083fc50	5	23	Address space 64Bit Old
710083fc68	5	31	Address space 32Bit No reserved
710083fc88	5	19	Address space 64Bit
710083fca8	5	10	White List
710083fcc0	5	6	Always
710083fcc8	5	28	Always If User State Matched
710083fce8	5	10	On Restart
710083fd00	5	12	Allow Append
710083fd10	5	50	Allow Append But Don't Download When Using Network
710083fd50	5	6	AesXts
710083fd58	5	6	AesCtr
710083fd60	5	8	AesCtrEx
710083fd70	5	6	Sha256
710083fd78	5	9	Integrity
710083fd88	5	5	RomFs
710083fd90	5	11	PartitionFs
710083fda0	5	16	Target marketing
710083fdc0	5	26	Retail Interactive Display
710083fde0	5	13	All On Launch
710083fdf0	5	9	On Demand
710083fe00	10	5	Allow
710083fe08	10	6	Manual
710083fe10	5	20	Licensed By Nintendo
710083fe28	5	23	Distributed By Nintendo
710083fe48	5	8	Log Only
710083fe58	5	6	Closed
710083fe60	10	8	Required
710083fe70	10	7	Disable
710083fe78	10	6	Enable
710083fe80	5	23	Required Linked Account
710083fe98	5	16	American English
710083feb0	5	15	British English
710083fec0	5	8	Japanese
710083fed0	5	22	Latin American Spanish
710083fee8	5	15	Canadian French
710083fef8	5	19	Traditional Chinese
710083ff10	5	18	Simplified Chinese
710083ff28	5	20	Brazilian Portuguese
710083ff40	5	6	Polish
710083ff58	4	5	FAT12
710083ff60	4	5	exFAT
710083ffa0	1	8	Darkroom
710083ffb0	4	5	{}/{}
710083ffd8	1	6	\u%04x
710083ffe0	1	12	\u%04x\u%04x
710083fff0	1	28	invalid UTF-8 byte at index 
7100840018	1	38	incomplete UTF-8 string; last byte: 0x
7100840040	1	6	\ufffd
7100840050	1	50	cannot use operator[] with a string argument with 
71008400d8	2	10	{"bytes":[
71008400e8	2	12	],"subtype":
71008400f8	1	5	null}
7100840100	1	11	<discarded>
7100840240	1	5	.star
7100840248	2	8	[{}]{}{}
7100840258	1	7	/switch
7100840260	1	17	Not enough memory
7100840278	3	8	fit_type
71008402b8	1	9	main.npdm
71008402c8	1	7	compat0
71008402d0	1	7	compat1
71008402d8	1	7	compat2
71008402e0	1	7	compat3
71008402e8	1	7	compat4
71008402f0	1	7	compat5
71008402f8	1	7	compat6
7100840300	1	7	compat7
7100840308	1	7	compat8
7100840310	1	7	compat9
7100840318	1	7	subsdk0
7100840320	1	7	subsdk1
7100840328	1	7	subsdk2
7100840330	1	7	subsdk3
7100840338	1	7	subsdk4
7100840340	1	7	subsdk5
7100840348	1	7	subsdk6
7100840350	1	7	subsdk7
7100840358	1	7	subsdk8
7100840360	1	7	subsdk9
7100840370	2	21	Last save auto backup
7100840390	2	6	ftp://
7100840398	2	7	sftp://
71008403a0	2	7	github:
71008403a8	2	11	FTP_install
71008403b8	1	9	FTP_saves
71008403d8	5	15	Last server URL
71008403e8	2	11	Apache HTTP
71008403f8	1	9	webdav://
7100840420	2	13	HTTP URL List
7100840430	1	7	DevTest
7100840438	1	15	AlbumHttpServer
7100840448	1	24	InstalledGamesHttpServer
7100840468	1	16	SDCardHttpServer
71008404c0	1	16	MTPMountContents
71008404d8	1	8	contents
71008404e8	1	5	 save
71008404f8	1	8	FTP_Save
7100840510	1	14	SaveValidating
7100840530	1	11	Development
7100840540	0	10	Production
7100840550	1	10	SystemInfo
7100840568	1	5	 U8: 
7100840570	1	6	 U16: 
7100840578	1	6	 U32: 
7100840580	1	6	 U64: 
710084058b	0	13	 Windows-1251
71008405a0	0	14	  Windows-1251
7100840633	0	12	 MacCyrillic
7100840640	0	13	  MacCyrillic
710084066b	0	9	 UTF-16BE
7100840678	0	10	  UTF-16BE
710084068b	0	9	 UTF-16LE
7100840698	0	10	  UTF-16LE
71008406e0	12	19	basic_string::erase
71008406f8	2	21	basic_string::replace
7100840718	0	17	Invalid bit range
7100840730	1	6	Server
7100840748	0	6	Static
7100840798	1	13	Homebrew menu
71008407a8	4	15	/dbiplaceholder
71008407b8	1	20	/Contents/registered
71008407d0	1	9	Firmware/
71008407e0	1	18	{}.{}.{}-{}.{}.zip
71008407f8	1	19	({:>3}/{:>3}) {} {}
7100840810	1	11	/hbmenu.nro
7100840820	3	7	TitleDB
7100840828	2	12	DBIUpdateURL
7100840838	1	13	ntp.msk-ix.ru
710084086f	0	28	)? 2 Edition( upgrade pack)?
7100840890	1	22	sdmc:/tmp_titledb.json
71008408b0	1	23	Error during parse file
71008408c8	1	19	updateDBIFromURL {}
71008408e0	4	15	time.google.com
71008408f0	1	19	time.cloudflare.com
7100840908	1	13	time.nist.gov
7100840918	1	19	europe.pool.ntp.org
7100840930	1	17	asia.pool.ntp.org
7100840948	1	19	africa.pool.ntp.org
7100840960	1	20	oceania.pool.ntp.org
7100840978	1	26	south-america.pool.ntp.org
7100840998	1	26	north-america.pool.ntp.org
71008409c0	1	22	Can not resolve server
71008409d8	3	21	Socket creation error
71008409f0	2	19	Communication error
7100840a08	1	18	Connection timeout
7100840a20	1	11	UpdateCheck
7100840a30	1	12	UpdateTitles
7100840a40	1	21	BlockAllTitlesWithLFS
7100840a60	2	13	] Blacklisted
7100840a70	2	7	] -> [v
7100840a78	1	6	 [DLC 
7100840a88	1	10	: New DLC 
7100840a98	1	9	Installer
7100840aa8	1	5	usbfs
7100840ab0	1	11	USB Browser
7100840ac0	4	5	icon_
7100840ac8	1	20	Unknown archive type
7100840ae0	1	11	 /firmware/
7100840af0	11	9	Filtering
7100840b00	1	13	InheritFilter
7100840b10	1	19	BrowseAppsFromFiles
7100840b28	2	29	/switch/daybreak/daybreak.nro
7100840b48	2	20	/switch/daybreak.nro
7100840b70	0	9	/Program 
7100840b80	1	14	\nVideo Tracks:
7100840b90	4	9	  #{}: {}
7100840ba0	2	8	 [{}x{}]
7100840bb0	1	10	 {} frames
7100840bc0	1	14	\nAudio Tracks:
7100840bd0	2	5	 {}Hz
7100840bd8	1	5	 {}ch
7100840be0	1	6	 {}bit
7100840be8	1	13	ApplicationId
7100840bf8	1	16	0100000000001000
7100840c10	1	7	NspInfo
7100840c18	1	17	^/Program \d+(.*)
7100840ca8	1	9	AVC Intra
7100840cc0	1	9	JPEG 2000
7100840cd8	1	11	Motion JPEG
7100840d48	1	9	DTS-HD MA
7100840de0	1	8	AAC Main
7100840e10	1	12	AAC Scalable
7100840e40	1	14	Main Synthetic
7100840e50	1	19	Wavetable Synthesis
7100840e68	1	12	General MIDI
7100840e78	1	21	Algorithmic Synthesis
7100840e90	1	9	ER AAC LC
7100840ea0	1	10	ER AAC LTP
7100840eb0	1	15	ER AAC Scalable
7100840ec0	1	9	ER TwinVQ
7100840ed0	1	7	ER BSAC
7100840ed8	1	9	ER AAC LD
7100840ee8	1	7	ER CELP
7100840ef8	1	7	ER HILN
7100840f00	1	13	ER Parametric
7100840f20	1	13	MPEG Surround
7100840f60	1	12	SLS non-core
7100840f70	1	10	ER AAC ELD
7100840f80	1	10	SMR Simple
7100840f90	1	8	SMR Main
7100840fb8	8	13	FilterFolders
7100840fd0	2	6	stoull
7100840fd8	1	12	DLC {:04} {}
7100841030	2	10	folder.jpg
7100841040	1	15	ShowFolderImage
7100841050	1	13	HideFolderJpg
7100841268	1	12	{:.2f}/{} {}
71008412a8	1	5	USB: 
7100841328	1	25	Internal error: no action
7100841368	1	9	Mtp_Debug
7100841378	1	10	MtpI_Debug
7100841390	1	17	Runtime exception
71008413a8	0	10	Data error
71008413b8	0	12	Syntax error
71008413c8	1	14	Bad URI syntax
71008413e0	0	6	telnet
7100841400	0	5	imaps
7100841420	1	49	URI encoding: no hex digit following percent sign
7100841458	1	53	URI encoding: two hex digits must follow percent sign
7100841490	2	29	URI encoding: not a hex digit
71008414b0	1	25	unterminated IPv6 address
71008414d0	1	26	bad or invalid port number
71008414f0	1	48	URI scheme must be followed by authority or path
7100841530	1	7	?#/:;+@
7100841548	1	19	%<>{}|\"^`!*'()$,[]
7100841560	2	8	{} -> {}
7100841570	4	11	named_files
7100841580	1	11	HashingFile
7100841590	1	5	ivfc_
7100841598	1	9	LevelFile
71008415b0	0	11	windows1251
71008415c0	0	12	windows-1251
71008415e8	1	6	ibm855
71008415f0	1	8	csibm855
7100841600	1	5	cp855
7100841608	1	5	koi8r
7100841610	1	6	koi8-r
7100841618	1	6	latin5
7100841620	1	10	iso-8859-5
7100841630	1	10	iso_8859_5
7100841640	1	11	maccyrillic
7100841650	2	14	x-mac-cyrillic
7100841660	1	8	utf-16le
7100841670	1	7	utf16le
7100841678	1	8	utf-16be
7100841688	1	7	utf16be
7100841698	1	5	nbsp;
71008416a8	1	6	iexcl;
71008416b8	1	5	cent;
71008416c8	1	6	pound;
71008416d8	1	7	curren;
71008416f8	1	7	brvbar;
7100841708	1	5	sect;
7100841728	1	5	copy;
7100841738	1	5	ordf;
7100841748	1	6	laquo;
7100841788	1	5	macr;
71008417a8	1	7	plusmn;
71008417b8	1	5	sup2;
71008417c8	1	5	sup3;
71008417d8	1	6	acute;
71008417e8	1	6	micro;
71008417f8	1	5	para;
7100841808	1	7	middot;
7100841818	1	6	cedil;
7100841828	1	5	sup1;
7100841838	1	5	ordm;
7100841848	1	6	raquo;
7100841858	1	7	frac14;
7100841868	1	7	frac12;
7100841878	1	7	frac34;
7100841888	1	7	iquest;
7100841898	2	6	times;
71008418a8	2	7	divide;
71008418b8	1	6	ndash;
71008418c8	1	6	mdash;
71008418d8	1	7	Agrave;
71008418e8	1	7	Aacute;
71008418f8	1	6	Acirc;
7100841908	1	7	Atilde;
7100841918	1	5	Auml;
7100841928	1	6	Aring;
7100841938	1	6	AElig;
7100841948	1	7	Ccedil;
7100841958	1	7	Egrave;
7100841968	1	7	Eacute;
7100841978	1	6	Ecirc;
7100841988	1	5	Euml;
7100841998	1	7	Igrave;
71008419a8	1	7	Iacute;
71008419b8	1	6	Icirc;
71008419c8	1	5	Iuml;
71008419e8	1	7	Ntilde;
71008419f8	1	7	Ograve;
7100841a08	1	7	Oacute;
7100841a18	1	6	Ocirc;
7100841a28	1	7	Otilde;
7100841a38	1	5	Ouml;
7100841a48	1	7	Oslash;
7100841a58	1	7	Ugrave;
7100841a68	1	7	Uacute;
7100841a78	1	6	Ucirc;
7100841a88	1	5	Uuml;
7100841a98	1	7	Yacute;
7100841aa8	1	6	THORN;
7100841ab8	1	6	szlig;
7100841ac8	1	7	agrave;
7100841ad8	1	7	aacute;
7100841ae8	1	6	acirc;
7100841af8	1	7	atilde;
7100841b08	1	5	auml;
7100841b18	1	6	aring;
7100841b28	1	6	aelig;
7100841b38	1	7	ccedil;
7100841b48	1	7	egrave;
7100841b58	1	7	eacute;
7100841b68	1	6	ecirc;
7100841b78	1	5	euml;
7100841b88	1	7	igrave;
7100841b98	1	7	iacute;
7100841ba8	1	6	icirc;
7100841bb8	1	5	iuml;
7100841bd8	1	7	ntilde;
7100841be8	1	7	ograve;
7100841bf8	1	7	oacute;
7100841c08	1	6	ocirc;
7100841c18	1	7	otilde;
7100841c28	1	5	ouml;
7100841c38	1	7	oslash;
7100841c48	1	7	ugrave;
7100841c58	1	7	uacute;
7100841c68	1	6	ucirc;
7100841c78	1	5	uuml;
7100841c88	1	7	yacute;
7100841c98	1	6	thorn;
7100841ca8	1	5	yuml;
7100841cb8	1	6	OElig;
7100841cc8	1	6	oelig;
7100841cd8	1	7	Scaron;
7100841ce8	1	7	scaron;
7100841cf8	1	5	Yuml;
7100841d08	1	5	circ;
7100841d18	1	6	tilde;
7100841d28	1	5	ensp;
7100841d38	1	5	emsp;
7100841d48	1	7	thinsp;
7100841d58	1	6	lsquo;
7100841d68	1	6	rsquo;
7100841d78	1	6	sbquo;
7100841d88	1	6	ldquo;
7100841d98	1	6	rdquo;
7100841da8	1	6	bdquo;
7100841db8	1	7	dagger;
7100841dc8	1	7	Dagger;
7100841dd8	1	7	permil;
7100841de8	1	7	lsaquo;
7100841df8	1	7	rsaquo;
7100841e08	1	5	euro;
7100841e18	1	5	fnof;
7100841e28	1	6	Alpha;
7100841e38	1	5	Beta;
7100841e48	1	6	Gamma;
7100841e58	1	6	Delta;
7100841e68	1	8	Epsilon;
7100841e80	1	5	Zeta;
7100841ea0	1	6	Theta;
7100841eb0	1	5	Iota;
7100841ec0	1	6	Kappa;
7100841ed0	1	7	Lambda;
7100841f10	1	8	Omicron;
7100841f48	1	6	Sigma;
7100841f68	1	8	Upsilon;
7100841fb0	1	6	Omega;
7100841fc0	1	6	alpha;
7100841fd0	1	5	beta;
7100841fe0	1	6	gamma;
7100841ff0	1	6	delta;
7100842000	1	8	epsilon;
7100842018	1	5	zeta;
7100842038	1	6	theta;
7100842048	1	5	iota;
7100842058	1	6	kappa;
7100842068	1	7	lambda;
71008420a8	1	8	omicron;
71008420e0	1	7	sigmaf;
71008420f0	1	6	sigma;
7100842110	1	8	upsilon;
7100842158	1	6	omega;
7100842160	1	9	thetasym;
7100842178	1	6	upsih;
7100842198	1	5	bull;
71008421a8	1	7	hellip;
71008421b8	1	6	prime;
71008421c8	1	6	Prime;
71008421d8	1	6	oline;
71008421e8	1	6	frasl;
71008421f8	1	7	weierp;
7100842208	1	6	image;
7100842218	1	5	real;
7100842228	1	6	trade;
7100842240	1	5	larr;
7100842250	1	5	uarr;
7100842260	1	5	rarr;
7100842270	1	5	darr;
7100842280	1	5	harr;
7100842290	1	6	crarr;
71008422a0	1	5	lArr;
71008422b0	1	5	uArr;
71008422c0	1	5	rArr;
71008422d0	1	5	dArr;
71008422e0	1	5	hArr;
71008422f0	1	7	forall;
7100842300	1	5	part;
7100842310	1	6	exist;
7100842320	1	6	empty;
7100842330	1	6	nabla;
7100842340	1	5	isin;
7100842350	1	6	notin;
7100842370	1	5	prod;
7100842390	1	6	minus;
71008423a0	1	7	lowast;
71008423b0	1	6	radic;
71008423c0	1	5	prop;
71008423d0	1	6	infin;
7100842440	1	7	there4;
7100842460	1	5	cong;
7100842470	1	6	asymp;
7100842490	1	6	equiv;
71008424e0	1	5	nsub;
71008424f0	1	5	sube;
7100842500	1	5	supe;
7100842510	1	6	oplus;
7100842520	1	7	otimes;
7100842530	1	5	perp;
7100842540	1	5	sdot;
7100842550	1	6	lceil;
7100842560	1	6	rceil;
7100842570	1	7	lfloor;
7100842580	1	7	rfloor;
7100842590	1	5	lang;
71008425a0	1	5	rang;
71008425c0	1	7	spades;
71008425d0	1	6	clubs;
71008425e0	1	7	hearts;
71008425f0	1	6	diams;
71008425f8	2	8	encoding
7100842608	2	18	Encoding set to {}
7100842620	1	12	Windows-1251
7100842658	2	12	_ANNOTATION_
71008426a8	1	17	footnote_([0-9]+)
71008426c0	1	16	footnote([0-9]+)
7100842748	0	5	notes
7100842750	0	9	footnotes
7100842768	1	7	mailto:
7100842770	3	24	basic_string::_M_replace
7100842790	0	17	JustificationMode
71008427a8	0	13	MarkupNoSpace
71008427b8	0	17	MarkupNoLineBreak
71008427d0	0	17	MarkupEndDocument
71008427e8	0	10	MarkupNote
71008427f8	0	14	MarkupImageRef
7100842808	0	11	TextElement
7100842818	0	14	MarkupListItem
7100842828	0	11	MarkupVerse
7100842838	0	14	MarkupVerseEnd
7100842848	0	10	MarkupCite
7100842858	0	13	MarkupCiteEnd
7100842868	0	13	MarkupEndPage
7100842878	0	18	MarkupParagraphEnd
7100842890	0	21	MarkupParagraphOffset
71008428a8	0	17	MarkupRubberSpace
71008428c0	0	16	MarkupFixedSpace
71008428d8	0	15	MarkupEmptyLine
71008428e8	0	11	MarkupTitle
71008428f8	1	20	Image '{}' not found
7100842910	0	54	{}: Exception during image creation and publishing: {}
7100842948	0	11	text-author
7100842958	0	7	section
7100842968	0	10	annotation
7100842978	0	9	coverpage
7100842988	0	10	empty-line
71008429a0	0	6	strong
71008429a8	0	13	strikethrough
71008429b8	1	5	title
71008429c0	0	10	title-info
71008429d0	1	11	FictionBook
71008429e0	1	10	book-title
71008429f0	1	8	sequence
7100842a00	1	10	first-name
7100842a10	1	11	middle-name
7100842a20	1	9	last-name
7100842a30	1	6	author
7100842a38	1	5	genre
7100842a40	2	11	description
7100842a78	1	18	Unknown font style
7100842a90	1	28	Can not determine image size
7100842ab0	1	29	Invalid box! {} {}x{} @ {}x{}
7100842ad0	1	28	Invalid hrule! {}x{} @ {}x{}
7100842af0	1	28	Invalid image! {}x{} @ {}x{}
7100842b10	0	27	%s:%d: assertion failed: %s
7100842b30	0	12	invalid utf8
7100842b40	6	17	number is too big
7100842b58	2	22	string pointer is null
7100842b70	9	16	0123456789abcdef
7100842b88	0	20	cannot write to file
7100842ba8	2	56	cannot switch from manual to automatic argument indexing
7100842be8	2	56	cannot switch from automatic to manual argument indexing
7100842c28	3	21	invalid format string
7100842c40	2	24	invalid format specifier
7100842c60	1	42	format specifier requires numeric argument
7100842c90	1	17	invalid precision
7100842ca8	1	26	invalid fill character '{'
7100842cc8	5	18	argument not found
7100842ce0	1	30	width/precision is not integer
7100842d00	1	31	width/precision is out of range
7100842d40	1	33	invalid format specifier for char
7100842d68	1	28	missing '}' in format string
7100842d88	1	24	unknown format specifier
7100842da8	1	30	unmatched '}' in format string
7100842de8	2	5	ums%u
7100842e01	1	5	,;=[]
7100842e18	1	28	Could not decode alpha data.
7100842e38	1	18	Frame setup failed
7100842e50	1	29	thread initialization failed.
7100842e70	1	38	no memory during frame initialization.
7100842e98	1	17	Truncated header.
7100842eb0	1	30	Incorrect keyframe parameters.
7100842ed0	1	22	Frame not displayable.
7100842ee8	1	27	cannot parse picture header
7100842f08	1	13	Bad code word
7100842f18	1	20	bad partition length
7100842f30	1	27	cannot parse segment header
7100842f50	1	26	cannot parse filter header
7100842f70	1	23	cannot parse partitions
7100842f88	1	16	Not a key frame.
7100842fa0	1	36	null VP8Io passed to VP8GetHeaders()
7100842fc8	1	36	NULL VP8Io parameter in VP8Decode().
7100842ff0	1	40	Premature end-of-partition0 encountered.
7100843020	1	34	Premature end-of-file encountered.
7100843048	1	15	Output aborted.
7100843060	1	40	easy handle already used in multi handle
7100843090	1	30	unknown proxytype option given
71008430b0	1	38	getpeername() failed with errno %d: %s
71008430d8	2	38	getsockname() failed with errno %d: %s
7100843100	1	42	ssrem inet_ntop() failed with errno %d: %s
7100843130	1	42	ssloc inet_ntop() failed with errno %d: %s
7100843160	1	19	  Trying %s:%ld...\n
7100843178	1	44	sa_addr inet_ntop() failed with errno %d: %s
71008431a8	1	30	Could not set TCP_NODELAY: %s\n
71008431c8	1	36	Failed to set SO_KEEPALIVE on fd %d\n
71008431f0	1	36	Failed to set TCP_KEEPIDLE on fd %d\n
7100843218	1	37	Failed to set TCP_KEEPINTVL on fd %d\n
7100843240	1	5	host!
7100843248	1	31	Couldn't bind to interface '%s'
7100843268	1	52	Local Interface %s is ip %s using address family %i\n
71008432a0	1	47	Name '%s' family %i resolved to '%s' family %i\n
71008432d0	1	21	Couldn't bind to '%s'
71008432e8	1	16	Local port: %hu\n
7100843300	2	43	Bind to local port %hu failed, trying next\n
7100843330	1	29	bind failed with errno %d: %s
7100843350	1	34	Immediate connect fail for %s: %s\n
7100843378	2	31	Could not set SO_NOSIGPIPE: %s\n
7100843398	3	19	Connection time-out
71008433b0	1	35	After %ldms connect time, move on!\n
71008433d8	2	18	Connection failed\n
71008433f0	2	34	connect to %s port %ld failed: %s\n
7100843418	1	36	Failed to connect to %s port %ld: %s
7100843440	1	40	Internal error removing splay node = %d\n
7100843470	1	38	Connection #%ld to host %s left intact
7100843498	1	36	In state %d with no conn, bail out!\n
71008434c0	1	42	Resolving timed out after %ld milliseconds
71008434f0	1	43	Connection timed out after %ld milliseconds
7100843520	2	77	Operation timed out after %ld milliseconds with %ld out of %ld bytes received
7100843570	2	66	Operation timed out after %ld milliseconds with %ld bytes received
71008435b8	1	38	Transfer was pending, now try another\n
71008435e0	1	37	Hostname '%s' was found in DNS cache\n
7100843608	1	40	Internal error clearing splay node = %d\n
7100843638	2	6	Digest
7100843640	1	6	Proxy-
7100843648	1	28	%sAuthorization: Digest %s\n
7100843668	1	20	Unsupported protocol
7100843680	1	21	Failed initialization
7100843698	1	43	URL using bad/illegal format or missing URL
71008436c8	1	108	A requested feature, protocol or option was not found built-in in this libcurl due to a build-time decision.
7100843738	1	27	Couldn't resolve proxy name
7100843758	1	26	Couldn't resolve host name
7100843778	1	26	Couldn't connect to server
7100843798	1	18	Weird server reply
71008437b0	1	32	Access denied to remote resource
71008437d8	1	46	FTP: The server failed to connect to data port
7100843808	1	43	FTP: Accepting server connect has timed out
7100843838	1	48	FTP: The server did not accept the PRET command.
7100843870	1	23	FTP: unknown PASS reply
7100843888	1	23	FTP: unknown PASV reply
71008438a0	1	32	FTP: unknown 227 response format
71008438c8	1	51	FTP: can't figure out the host in the PASV response
7100843900	1	32	Error in the HTTP2 framing layer
7100843928	1	27	FTP: couldn't set file type
7100843948	1	26	Transferred a partial file
7100843968	1	55	FTP: couldn't retrieve (RETR failed) the specified file
71008439a0	1	28	Quote command returned error
71008439c0	1	29	HTTP response code said error
71008439e0	1	48	Failed writing received data to disk/application
7100843a18	1	43	Upload failed (at start/before it took off)
7100843a48	1	52	Failed to open/read local data from file/application
7100843a80	10	13	Out of memory
7100843a90	1	19	Timeout was reached
7100843aa8	1	24	FTP: command PORT failed
7100843ac8	1	24	FTP: command REST failed
7100843ae8	1	47	Requested range was not delivered by the server
7100843b18	1	36	Internal problem setting up the POST
7100843b40	1	17	SSL connect error
7100843b58	1	24	Couldn't resume download
7100843b78	1	28	Couldn't read a file:// file
7100843b98	1	17	LDAP: cannot bind
7100843bb0	1	19	LDAP: search failed
7100843bc8	1	48	A required function in the library was not found
7100843c00	1	48	Operation was aborted by an application callback
7100843c38	1	43	A libcurl function was given a bad argument
7100843c68	1	35	Failed binding local connection end
7100843c90	1	38	Number of redirects hit maximum amount
7100843cb8	1	42	An unknown option was passed in to libcurl
7100843ce8	1	23	Malformed telnet option
7100843d00	1	45	Server returned nothing (no headers, no data)
7100843d30	1	27	SSL crypto engine not found
7100843d50	1	40	Can not set SSL crypto engine as default
7100843d80	1	38	Failed to initialise SSL crypto engine
7100843da8	1	31	Failed sending data to the peer
7100843dc8	1	41	Failure when receiving data from the peer
7100843df8	1	38	Problem with the local SSL certificate
7100843e20	1	33	Couldn't use specified SSL cipher
7100843e48	1	49	SSL peer certificate or SSH remote key was not OK
7100843e80	1	51	Problem with the SSL CA cert (path? access rights?)
7100843eb8	1	53	Unrecognized or bad HTTP Content or Transfer-Encoding
7100843ef0	1	16	Invalid LDAP URL
7100843f08	3	26	Maximum file size exceeded
7100843f28	1	26	Requested SSL level failed
7100843f48	1	38	Failed to shut down the SSL connection
7100843f70	1	55	Failed to load CRL file (path? access rights?, format?)
7100843fa8	1	44	Issuer check against peer certificate failed
7100843fd8	1	53	Send failed since rewinding of the data stream failed
7100844010	1	12	Login denied
7100844020	1	20	TFTP: File Not Found
7100844038	1	22	TFTP: Access Violation
7100844050	1	32	Disk full or allocation exceeded
7100844078	1	23	TFTP: Illegal operation
7100844090	1	25	TFTP: Unknown transfer ID
71008440b0	1	26	Remote file already exists
71008440d0	1	18	TFTP: No such user
71008440e8	1	17	Conversion failed
7100844100	1	51	Caller must register CURLOPT_CONV_ callback options
7100844138	1	21	Remote file not found
7100844150	1	22	Error in the SSH layer
7100844168	1	30	Socket not ready for send/recv
7100844188	1	34	RTSP CSeq mismatch or invalid CSeq
71008441b0	1	18	RTSP session error
71008441c8	1	29	Unable to parse FTP file list
71008441e8	1	21	Chunk callback failed
7100844200	1	35	The max connection limit is reached
7100844228	1	47	SSL public key does not match pinned public key
7100844258	1	49	SSL server certificate status verification FAILED
7100844290	1	40	Stream error in the HTTP/2 framing layer
71008442c0	1	40	API function called from within callback
71008442f0	1	44	An authentication function returned an error
7100844320	1	12	HTTP/3 error
7100844330	1	21	QUIC connection error
7100844348	1	16	Unknown error %d
7100844360	1	46	SOCKS4%s: connecting to HTTP proxy %s port %d\n
7100844390	1	30	SOCKS4 communication to %s:%d\n
71008443b0	1	34	SOCKS4 non-blocking resolve of %s\n
71008443d8	1	24	Hostname '%s' was found\n
71008443f8	1	45	SOCKS4 connect to IPv4 %s (locally resolved)\n
7100844428	1	38	SOCKS4 connection to %s not supported\n
7100844450	1	42	Failed to resolve "%s" for SOCKS4 connect.
7100844480	1	38	Too long SOCKS proxy name, can't use!\n
71008444a8	1	26	SOCKS4: too long host name
71008444c8	1	38	Failed to send SOCKS4 connect request.
71008444f0	1	48	SOCKS4: Failed receiving connect request ack: %s
7100844528	1	52	SOCKS4 reply has wrong version, version should be 0.
7100844560	1	26	SOCKS4%s request granted.\n
7100844580	1	85	Can't complete SOCKS4 connection to %d.%d.%d.%d:%d. (%d), request rejected or failed.
71008445d8	1	135	Can't complete SOCKS4 connection to %d.%d.%d.%d:%d. (%d), request rejected because SOCKS server cannot connect to identd on the client.
7100844660	1	139	Can't complete SOCKS4 connection to %d.%d.%d.%d:%d. (%d), request rejected because the client program and identd report different user-ids.
71008446f0	1	66	Can't complete SOCKS4 connection to %d.%d.%d.%d:%d. (%d), Unknown.
7100844738	1	44	SOCKS5: connecting to HTTP proxy %s port %d\n
7100844768	1	81	SOCKS5: server resolving disabled for hostnames of length > 255 [actual len=%zu]\n
71008447c0	1	62	warning: unsupported value passed to CURLOPT_SOCKS5_AUTH: %lu\n
7100844800	1	38	Unable to send initial SOCKS5 request.
7100844828	1	42	Unable to receive initial SOCKS5 response.
7100844858	1	52	Received invalid version in initial SOCKS5 response.
7100844890	1	58	SOCKS5 GSSAPI per-message authentication is not supported.
71008448d0	1	40	No authentication method was acceptable.
7100844900	1	56	Undocumented SOCKS5 mode attempted to be used by server.
7100844940	1	41	Excessive user name length for proxy auth
7100844970	1	40	Excessive password length for proxy auth
71008449a0	1	46	Failed to send SOCKS5 sub-negotiation request.
71008449d0	1	50	Unable to receive SOCKS5 sub-negotiation response.
7100844a08	1	47	User was rejected by the SOCKS5 server (%d %d).
7100844a38	1	28	SOCKS5: hostname '%s' found\n
7100844a58	1	42	Failed to resolve "%s" for SOCKS5 connect.
7100844a88	1	45	SOCKS5 connect to IPv4 %s (locally resolved)\n
7100844ab8	1	38	SOCKS5 connection to %s not supported\n
7100844ae0	1	44	SOCKS5 connect to %s:%d (remotely resolved)\n
7100844b10	1	38	Failed to send SOCKS5 connect request.
7100844b38	1	45	Failed to receive SOCKS5 connect request ack.
7100844b68	1	52	SOCKS5 reply has wrong version, version should be 5.
7100844ba0	1	44	Can't complete SOCKS5 connection to %s. (%d)
7100844bd0	1	24	SOCKS5 request granted.\n
7100844c00	1	30	Proxy-Connection: Keep-Alive\n
7100844c20	1	25	allocate connect buffer!\n
7100844c40	2	37	Establish HTTP proxy tunnel to %s:%d\n
7100844c68	1	5	%s:%d
7100844c70	1	7	CONNECT
7100844c78	1	9	%s%s%s:%d
7100844c88	1	10	Host: %s\n
7100844c98	2	16	Proxy-Connection
7100844cb0	5	10	User-Agent
7100844cc0	1	31	Failed sending CONNECT to proxy
7100844ce0	1	36	Proxy CONNECT aborted due to timeout
7100844d08	1	27	CONNECT response too large!
7100844d28	1	32	Proxy CONNECT connection closed\n
7100844d50	1	21	Proxy CONNECT aborted
7100844d68	1	19	chunk reading DONE\n
7100844d80	1	34	Ignore %ld bytes of response-body\n
7100844da8	1	29	Ignore chunked response-body\n
7100844dc8	3	17	WWW-Authenticate:
7100844de0	2	19	Proxy-authenticate:
7100844df8	3	15	Content-Length:
7100844e08	1	49	Ignoring Content-Length in CONNECT %03d response\n
7100844e40	4	5	close
7100844e48	4	11	Connection:
7100844e58	8	18	Transfer-Encoding:
7100844e70	1	52	Ignoring Transfer-Encoding in CONNECT %03d response\n
