rodata_va	n_refs	string	sample_text_pcs
0x7183b0e8	1	Permanent	0x7118b5e0
0x7183b100	1	Rental	0x7118b6ec
0x7183b108	1	Subscription	0x7118b668
0x7183b118	1	Service	0x7118b624
0x7183b120	6	Common	0x710495e8,0x7104a698,0x7104ac48,0x7104afb8,0x7104e0e8
0x7183b128	1	Personalized	0x7118b74c
0x7183b138	1	Signature       :	0x7118bd48
0x7183b150	1	Issuer          :	0x7118be34
0x7183b168	1	Format version  :	0x7118bf18
0x7183b180	1	Type            :	0x7118bfec
0x7183b198	1	Version         :	0x7118c0ec
0x7183b1b0	1	License         :	0x7118c1ac
0x7183b1c8	1	Key generation  :	0x7118c288
0x7183b1e0	1	Properties      :	0x7118c39c
0x7183b1f8	1	                : Pre Installation	0x7118ce30
0x7183b220	1	                : Shared Title	0x7118cd8c
0x7183b240	1	                : All Contents	0x7118cce8
0x7183b260	1	                : Device Link Indepedent	0x7118cc44
0x7183b290	1	                : Temporary	0x7118cba4
0x7183b2b0	1	                : ELicense Required	0x7118c498
0x7183b2d8	1	Ticket ID       :	0x7118c54c
0x7183b2f0	1	Device ID       :	0x7118c64c
0x7183b308	1	RightsId        :	0x7118c70c
0x7183b320	1	Enc. title key  :	0x7118c7d0
0x7183b338	1	Dec. title key  :	0x7118c894
0x7183b350	1	Exception during listing XCI: {}	0x7118e7d4
0x7183b378	1	Can not read block	0x71191138
0x7183b3c0	1	{:d}.{:d}	0x7119a6a0
0x7183b3d0	1	{:04X}-{:04X}	0x7119a6f0
0x7183b3e0	1	{:d}/{:d}	0x7119a74c
0x7183b3f8	1	Russian	0x711a0050
0x7183b400	1	AmericanEnglish	0x711a0084
0x7183b410	1	BritishEnglish	0x711a00b0
0x7183b420	1	German	0x711a0130
0x7183b428	1	LatinAmericanSpanish	0x711a0184
0x7183b440	1	Spanish	0x711a01ac
0x7183b448	1	Italian	0x711a01d0
0x7183b458	1	CanadianFrench	0x711a0230
0x7183b468	1	Portuguese	0x711a025c
0x7183b478	1	Korean	0x711a0294
0x7183b480	1	TraditionalChinese	0x711a02dc
0x7183b498	1	SimplifiedChinese	0x711a0330
0x7183b4b0	1	BrazilianPortuguese	0x711a038c
0x7183b4c8	1	/icon_	0x711a03bc
0x7183b4e0	1	DBI MTP	0x711a1914
0x7183b4e8	1	DBI Backend	0x711a1938
0x7183b4f8	2	SingleURB	0x711a2754,0x711a2b40
0x7183b508	1	write: USB communication failed	0x711a2aa0
0x7183b528	1	read. USB communication failed:	0x711a2f0c
0x7183b550	1	 readSize =	0x711a2f54
0x7183b560	1	Invalid ack received	0x711a3240
0x7183b578	1	Invalid response received	0x711a3270
0x7183b5b0	1	RWSameBrightness	0x711a5e68
0x7183b5d0	1	TempFolder	0x711ac54c
0x7183b5e0	1	sdmc:/switch/DBI/temp/	0x711ac568
0x7183b5f8	2	CheckHash	0x711acdf4,0x7141c0bc
0x7183b608	1	PatchScreenshot	0x711acf20
0x7183b618	1	PatchVideoRec	0x711acfb8
0x7183b628	1	PatchMasterKeyGeneration	0x711ad064
0x7183b648	1	Patch21Names	0x711ad10c
0x7183b668	13	.*\.?\[?([0-9a-fA-F]{16})\]?(\[v([0-9]+)\])?\.romfs\.bin	0x7101e4b0,0x7101e99c,0x7101ee90,0x710423ec,0x71042a90
0x7183b6a8	13	(?:firmware|fw)[.\-_].*?(([0-9]{1,2})\.([0-9]{1})\.([0-9]{1}	0x7101e4d0,0x7101e9c0,0x7101eeb0,0x71042410,0x71042ab4
0x7183b6f0	1	{:016X}	0x711b0660
0x7183b810	2	manifest	0x711b6f10,0x711b9aa8
0x7183b820	1	titleid	0x711b6fd8
0x7183b828	1	patchset	0x711b7070
0x7183b838	1	Manifest file not found. Installation aborted	0x711ba314
0x7183b890	2	Invalid filename	0x711d05cc,0x716b38a4
0x7183b8a8	2	CreateLFS	0x711d3b18,0x7141c6b4
0x7183b8b8	1	secure	0x716ba0c0
0x7183b8c0	1	storage_root	0x711f5628
0x7183b8d0	2	Request	0x711f82a0,0x711f88e4
0x7183b8d8	1	[[Binary data:	0x71200144
0x7183b8e8	1	 bytes]]	0x712001c0
0x7183b900	1	Start MTP debug log	0x7120a8b8
0x7183b918	3	ReportAndroidExtension	0x71209030,0x71260100,0x7141f10c
0x7183b930	1	Android extensions:	0x7120914c
0x7183b948	1	Finish MTP debug log	0x7120b160
0x7183b968	1	{:04d}{:02d}{:02d}{:02d}{:02d}{:02d}{:02d}	0x7120d0fc
0x7183b9b0	1	Error during scanning	0x7121a7a8
0x7183b9c8	2	ShowMAC	0x7121c7a8,0x7141e038
0x7183b9d0	1	Mods & Cheats	0x7121c814
0x7183b9e0	2	BufferSize	0x712242b4,0x71224d50
0x7183b9f0	2	NewBufferTimeout	0x712243c8,0x71224a98
0x7183ba10	1	 (trimmed).xci	0x7122ffdc
0x7183ba20	1	gamecard_cert.dat	0x712303b0
0x7183ba38	1	/SD_Cache.	0x7123a6e8
0x7183ba48	1	Installed games	0x71424a4c
0x7183ba78	1	System	0x7123f2a0
0x7183ba88	1	Account	0x7123f2c4
0x7183baa8	1	Device	0x7123f304
0x7183bab8	1	Temporary	0x7123f324
0x7183bad8	1	SystemBCAT	0x7123f364
0x7183bae8	2	UnknownUser [	0x71244f58,0x71274dcc
0x7183baf8	4	Cache.	0x71244c8c,0x7124e4a0,0x71274c1c,0x7127e154
0x7183bb10	2	%04d%02d%02dT%02d%02d%02d	0x712571b8,0x71257280
0x7183bb30	1	microsoft.com: 1.0; android.com: 1.0;	0x7126041c
0x7183bb58	1	microsoft.com: 1.0;	0x71260fec
0x7183bb70	1	Nintendo	0x712606e4
0x7183bb80	1	Switch	0x712608f0
0x7183bb88	1	AutoremoveInstalled	0x7126f5d8
0x7183bba0	2	MinPassivePort	0x71290abc,0x71290c4c
0x7183bbb0	2	MaxPassivePort	0x71290b3c,0x71290ccc
0x7183bbc8	1	%b %e %Y	0x71290f4c
0x7183bbd8	1	%b %e %H:%M	0x712910a0
0x7183bbe8	1	Type=%s;	0x7129102c
0x7183bbf8	1	Size=%lld;	0x712910c8
0x7183bc08	1	Modify=%Y%m%d%H%M%S;	0x71291114
0x7183bc28	1	UNIX.mode=0%lo;	0x7129125c
0x7183bc38	1	%c%c%c%c%c%c%c%c%c%c %lu user user %lld	0x71290f04
0x7183bc68	1	Jan 1 1970	0x712912b0
0x7183bcc8	1	Modify;	0x7129ff70
0x7183bcd8	1	UNIX.mode;	0x7129ffa0
0x7183bcf0	1	UTF8 ON	0x7129f9bc
0x7183bcf8	1	UTF8 NLST	0x7129f9d0
0x7183bd10	1	"{:s}"	0x712a038c
0x7183bd28	1	FREESPACE SD	0x712a4d00
0x7183bd38	1	FREESPACE NAND	0x712a4d14
0x7183bd48	1	TOTALSPACE SD	0x712a4d28
0x7183bd58	1	TOTALSPACE NAND	0x712a4d3c
0x7183bda0	2	UseWaitAll	0x712b511c,0x71426fc0
0x7183bdb0	2	ReadMT	0x712bd42c,0x71425efc
0x7183bdb8	1	File status.	0x712c28d8
0x7183bde8	1	Missing path argument for file transfer	0x712e42ec
0x7183be48	1	Invalid open type %d	0x712e430c
0x7183be60	1	Invalid mode %c	0x712e43e0
0x7183be78	2	%u,%u,%u,%u,%u,%u	0x712e4398,0x716dfc14
0x7183be90	1	PORT %d,%d,%d,%d,%d,%d	0x712e4118
0x7183beb0	1	timed out waiting for connection	0x712e47bc
0x7183bf38	1	FtpClient	0x7104646c
0x7183bfc8	1	DLC {}	0x712fdc04
0x7183bfd0	1	Moved permanently	0x71300ce8
0x7183c010	1	T:WPA;	0x7130d3f8
0x7183c030	1	Timeout	0x7130e0d8
0x7183c038	1	ForcedUA	0x7130e204
0x7183c048	1	ValidateSSL	0x7130e450
0x7183c058	3	identity	0x7130e57c,0x716cbf7c,0x716cc1b8
0x7183c068	1	CustomDNS	0x713106b4
0x7183c078	1	Depth: 1	0x713127b8
0x7183c088	1	PROPFIND	0x713127c4
0x7183c098	1	DELETE	0x71312d88
0x7183c0b8	10	default	0x71049914,0x71315584,0x715717d4,0x716c54c4,0x716c5594
0x7183c0c0	1	Switch-DBI	0x71315888
0x7183c0d0	2	Use5GHz	0x71315e20,0x71428458
0x7183c0d8	2	Hidden	0x71315e8c,0x714289f0
0x7183c0e0	1	7ZIP file	0x7131a4d0
0x7183c0f0	1	DBI update URL found	0x7131b5d0
0x7183c108	1	<a href="([^"]+)">([^<]+)</a>|<A HREF="([^"]+)">([^<]+)</A>	0x7131c7dc
0x7183c170	1	&emsp;	0x7131cdf4
0x7183c190	5	http://	0x7131d5e4,0x71409c1c,0x714899dc,0x71489a60,0x7148f220
0x7183c198	5	https://	0x7131d608,0x71409c60,0x714899ec,0x71489a74,0x7148f238
0x7183c1a8	1	Directories: {}, Files: {}	0x71320c68
0x7183c1c8	1	[{}/{}] {}	0x71322614
0x7183c1e0	1	Unknown scheme	0x713269e4
0x7183c1f8	1	Can not create file for installable object	0x71329bdc
0x7183c228	1	Not installable object	0x71329e9c
0x7183c240	2	Output file not opened	0x7132a0ec,0x7132e9fc
0x7183c258	2	Input file not opened	0x7132a1bc,0x7132e880
0x7183c270	1	Not a directory :'	0x7132dfd8
0x7183c2a8	1	saveSD	0x7132f608
0x7183c2b0	1	Can not find mounted save	0x7132f710
0x7183c2d0	1	VFSFS::getEntryType '	0x7132fdc8
0x7183c2e8	1	OPTS UTF8 ON	0x71330310
0x7183c2f8	2	ForceUtf8	0x713303c0,0x71426810
0x7183c308	1	OPTS UTF8	0x71330434
0x7183c318	1	Let's try MLSD	0x7133121c
0x7183c328	1	OK. No MLSD. Let's try LIST	0x713314e0
0x7183c348	1	Dir line:	0x7133132c
0x7183c360	1	type=file	0x71331650
0x7183c378	1	type=cdir	0x7133175c
0x7183c388	1	Can not connect to specified address	0x7133237c
0x7183c3c0	4	boolean	0x71001ba4,0x71002728,0x71002a78,0x71351a14
0x7183c3c8	4	binary	0x71001bd4,0x71002758,0x71002aa8,0x71659120
0x7183c3d0	3	discarded	0x71001be0,0x71002764,0x71002ab4
0x7183c3e0	3	out_of_range	0x713333c0,0x71334d88,0x71578aac
0x7183c3f0	2	parse_error	0x713335d0,0x7153d91c
0x7183c400	2	 at line	0x71333944,0x7153dc6c
0x7183c410	2	, column	0x71333990,0x7153dcb8
0x7183c420	2	parse error	0x71333a5c,0x7153dd9c
0x7183c430	5	type_error	0x71001c5c,0x71001e6c,0x7100283c,0x71002944,0x71002adc
0x7183c440	1	invalid_iterator	0x71001d64
0x7183c458	8	cannot get value	0x7133e008,0x7133e064,0x7133eb28,0x7133eb78,0x7133ed5c
0x7183c470	3	type must be string, but is	0x7133ee60,0x7133efc8,0x7133f2a4
0x7183c490	1	[json.exception.	0x713331ec
0x7183c4a8	3	<U+%.4X>	0x713342c0,0x71570bf0,0x71570f84
0x7183c4b8	2	<uninitialized>	0x71334960,0x71571378
0x7183c4c8	4	true literal	0x71334954,0x713349d8,0x7157136c,0x715713f0
0x7183c4d8	4	false literal	0x713348f4,0x713349cc,0x7157130c,0x715713e4
0x7183c4e8	4	null literal	0x71334930,0x713349c0,0x71571348,0x715713d8
0x7183c4f8	4	string literal	0x7133493c,0x7133496c,0x71571354,0x715713b4
0x7183c508	4	number literal	0x713348b8,0x713348c4,0x715712d0,0x715712dc
0x7183c548	4	unknown token	0x71334544,0x7133477c,0x71570e6c,0x71571170
0x7183c558	4	end of input	0x713348dc,0x713349f0,0x715712f4,0x71571408
0x7183c568	4	'[', '{', or a literal	0x713348e8,0x713349e4,0x71571300,0x715713fc
0x7183c580	2	<parse error>	0x713349fc,0x71571414
0x7183c590	2	syntax error	0x713343f0,0x71570d40
0x7183c5a0	2	while parsing	0x71334468,0x71570d90
0x7183c5b8	2	; last read: '	0x713346b0,0x715710a4
0x7183c5c8	2	unexpected	0x71334590,0x71570eb8
0x7183c5d8	2	; expected	0x713347c0,0x715711b0
0x7183c5e8	1	cannot use at() with	0x71334e60
0x7183c608	1	' not found	0x71334d78
0x7183c618	1	iterator does not fit current value	0x71336b58
0x7183c640	1	iterator out of range	0x71336b08
0x7183c658	1	cannot use erase() with	0x71336aac
0x7183c678	3	cannot compare iterators of different containers	0x71336df4,0x7133db44,0x7133f16c
0x7183c6b0	3	type must be number, but is	0x71337550,0x7146b784,0x7146b7e0
0x7183c6d0	4	invalid string: ill-formed UTF-8 byte	0x71337974,0x71337b8c,0x715753cc,0x7157553c
0x7183c6f8	2	invalid string: control character U+000A (LF) must be escape	0x71337bc8,0x71575578
0x7183c748	2	invalid string: missing closing quote	0x71337cd4,0x7157575c
0x7183c770	2	invalid string: '\u' must be followed by 4 hex digits	0x713381c0,0x71575b40
0x7183c7a8	2	invalid string: surrogate U+D800..U+DBFF must be followed by	0x713381d8,0x71575d68
0x7183c7f8	2	invalid string: surrogate U+DC00..U+DFFF must follow U+D800.	0x713381e8,0x71575d88
0x7183c840	2	invalid string: forbidden character after backslash	0x713380a0,0x71575bb0
0x7183c878	2	invalid string: control character U+0000 (NUL) must be escap	0x71337d78,0x715756d4
0x7183c8c8	2	invalid string: control character U+0001 (SOH) must be escap	0x71337d88,0x715756e4
0x7183c918	2	invalid string: control character U+0002 (STX) must be escap	0x71337d98,0x715756f4
0x7183c968	2	invalid string: control character U+0003 (ETX) must be escap	0x71337da8,0x71575704
0x7183c9b8	2	invalid string: control character U+0004 (EOT) must be escap	0x71337db8,0x71575714
0x7183ca08	2	invalid string: control character U+0005 (ENQ) must be escap	0x71337dc8,0x71575724
0x7183ca58	2	invalid string: control character U+0006 (ACK) must be escap	0x71337dd8,0x71575734
0x7183caa8	2	invalid string: control character U+0007 (BEL) must be escap	0x71337de8,0x71575744
0x7183caf8	2	invalid string: control character U+0008 (BS) must be escape	0x71337e80,0x71575888
0x7183cb48	2	invalid string: control character U+0009 (HT) must be escape	0x71337e90,0x71575898
0x7183cb98	2	invalid string: control character U+000B (VT) must be escape	0x71337ea0,0x715758a8
0x7183cbe0	2	invalid string: control character U+000C (FF) must be escape	0x71337eb0,0x715758b8
0x7183cc30	2	invalid string: control character U+000D (CR) must be escape	0x71337ec0,0x715758c8
0x7183cc80	2	invalid string: control character U+000E (SO) must be escape	0x71337ed0,0x715758d8
0x7183ccc8	2	invalid string: control character U+000F (SI) must be escape	0x71337ee0,0x715758e8
0x7183cd10	2	invalid string: control character U+0010 (DLE) must be escap	0x71337ef0,0x715758f8
0x7183cd60	2	invalid string: control character U+0011 (DC1) must be escap	0x71337f00,0x71575908
0x7183cdb0	2	invalid string: control character U+0012 (DC2) must be escap	0x71337f10,0x71575918
0x7183ce00	2	invalid string: control character U+0013 (DC3) must be escap	0x71337f20,0x71575928
0x7183ce50	2	invalid string: control character U+0014 (DC4) must be escap	0x71337f30,0x71575938
0x7183cea0	2	invalid string: control character U+0015 (NAK) must be escap	0x71337f40,0x71575948
0x7183cef0	2	invalid string: control character U+0016 (SYN) must be escap	0x71337f50,0x71575958
0x7183cf40	2	invalid string: control character U+0017 (ETB) must be escap	0x71337f60,0x71575968
0x7183cf90	2	invalid string: control character U+0018 (CAN) must be escap	0x71337f70,0x71575978
0x7183cfe0	2	invalid string: control character U+0019 (EM) must be escape	0x71337df8,0x715757cc
0x7183d028	2	invalid string: control character U+001A (SUB) must be escap	0x71337e08,0x715757dc
0x7183d078	2	invalid string: control character U+001B (ESC) must be escap	0x71337e18,0x715757ec
0x7183d0c8	2	invalid string: control character U+001C (FS) must be escape	0x71337e28,0x715757fc
0x7183d110	2	invalid string: control character U+001D (GS) must be escape	0x71337e38,0x7157580c
0x7183d158	2	invalid string: control character U+001E (RS) must be escape	0x71337e48,0x7157581c
0x7183d1a0	2	invalid string: control character U+001F (US) must be escape	0x71337e58,0x7157582c
0x7183d1e8	2	invalid number; expected digit after '.'	0x71338450,0x715761fc
0x7183d218	2	invalid number; expected digit after '-'	0x71338870,0x71576578
0x7183d248	2	invalid number; expected digit after exponent sign	0x713388b8,0x71576604
0x7183d280	2	invalid number; expected '+', '-', or digit after exponent	0x71338738,0x7157642c
0x7183d2c0	2	invalid comment; expecting '/' or '*' after '/'	0x71338f68,0x71576e24
0x7183d2f0	2	invalid BOM; must be 0xEF 0xBB 0xBF if given	0x71338be0,0x71576ba0
0x7183d320	3	invalid literal	0x71338e84,0x71576bbc,0x71577364
0x7183d330	2	invalid comment; missing closing '*/'	0x713390d0,0x71576f70
0x7183d358	6	object key	0x7133a2c0,0x7133a924,0x7133bce0,0x7133bf48,0x71578d80
0x7183d368	6	object separator	0x7133a05c,0x7133a9ac,0x7133bb30,0x7133c008,0x71578c14
0x7183d380	3	number overflow parsing '	0x7133a3e4,0x7133bde4,0x71578a84
0x7183d3a0	3	attempting to parse an empty input; check that your input st	0x7133a4b4,0x7133bebc,0x71578dd8
0x7183d408	1	MTP Browser	0x71341cd4
0x7183d418	1	Moving object not supported yet	0x71342e60
0x7183d438	2	Invalid target path	0x713432a8,0x71343f38
0x7183d450	1	Source file not found	0x713433c0
0x7183d468	1	Rename failed	0x7134334c
0x7183d478	1	Invalid target path. Parent does not exist	0x71343fec
0x7183d4a8	1	Invalid target path. Parent not a folder	0x71343f88
0x7183d4d8	1	Object with different format already exists	0x71344028
0x7183d510	1	nsp_file	0x71344cf4
0x7183d520	1	RAR file	0x71345f80
0x7183d530	1	RomFS.bin	0x713462e0
0x7183d540	1	Expression does not evaluate to node set	0x71002030
0x7183d570	4	Unknown error	0x7135b798,0x716a6788,0x717e34d0,0x717ffb24
0x7183d580	1	File was not found	0x7135d1c0
0x7183d598	1	Error reading from file/stream	0x7135d1b4
0x7183d5b8	1	Could not allocate memory	0x7135d1a8
0x7183d5d8	1	Internal error occurred	0x7135d19c
0x7183d5f0	1	Could not determine tag type	0x7135d190
0x7183d610	1	Error parsing document declaration/processing instruction	0x7135d20c
0x7183d650	1	Error parsing comment	0x7135d200
0x7183d668	1	Error parsing CDATA section	0x7135d1f4
0x7183d688	1	Error parsing document type declaration	0x7135d1e8
0x7183d6b0	1	Error parsing PCDATA section	0x7135d224
0x7183d6d0	1	Error parsing start element tag	0x7135d218
0x7183d6f0	1	Error parsing element attribute	0x7135d230
0x7183d710	1	Error parsing end element tag	0x7135d184
0x7183d730	1	Start-end tags mismatch	0x7135d178
0x7183d748	1	Unable to append nodes: root is not an element or document	0x7135d16c
0x7183d788	1	No document element found	0x7135d1cc
0x7183d7a8	1	*[local-name() = 'href']	0x7135be80
0x7183d7c8	1	*[local-name() = 'propstat']/*[local-name() = 'prop']	0x7135bee8
0x7183d800	1	<Unknown>	0x7135bfb8
0x7183d810	1	*[local-name() = 'file_url']	0x7135c0ec
0x7183d830	1	*[local-name() = 'displayname']	0x7135c368
0x7183d850	1	*[local-name() = 'resourcetype']	0x7135c404
0x7183d878	1	*[local-name() = 'collection']	0x7135c47c
0x7183d898	1	*[local-name() = 'getcontentlength']	0x7135cb1c
0x7183d8c0	1	Server returns empty content	0x7135d2e0
0x7183d8e0	1	//*[local-name() = 'multistatus']/*[local-name() = 'response	0x7135bc9c
0x7183d928	2	Infinity	0x7134ee0c,0x71815948
0x7183d938	1	-Infinity	0x7134ee08
0x7183d968	6	Exceeded maximum allowed query depth	0x713512cc,0x71351830,0x71352304,0x7135271c,0x71352968
0x7183d990	1	Unknown variable: variable set is not provided	0x71351650
0x7183d9c0	1	Unknown variable: variable set does not contain the given na	0x713516e0
0x7183da00	1	Expected ')' to match an opening '('	0x713513d8
0x7183da28	1	Unrecognized function call	0x71351364
0x7183da48	1	No comma between function arguments	0x713518e8
0x7183da78	1	contains	0x71351ae4
0x7183da88	2	Function has to be applied to node set	0x71351db8,0x71351f6c
0x7183dab0	1	concat	0x71351b08
0x7183dab8	1	ceiling	0x71351b2c
0x7183dad8	1	local-name	0x71351e90
0x7183dae8	1	namespace-uri	0x71351ba4
0x7183daf8	1	normalize-space	0x71351bcc
0x7183db10	1	position	0x713518ac
0x7183db20	1	string-length	0x71351c98
0x7183db30	1	starts-with	0x71351cc8
0x7183db40	1	substring-before	0x71351cfc
0x7183db58	1	substring-after	0x71351d2c
0x7183db68	1	substring	0x71351d5c
0x7183db80	1	translate	0x7135198c
0x7183db90	1	Unrecognized function or wrong parameter count	0x713518d0
0x7183dbc0	1	Unrecognizable primary expression	0x7135140c
0x7183dbe8	2	comment	0x713524f8,0x71352df4
0x7183dbf8	3	processing-instruction	0x71352510,0x71352b70,0x71352e14
0x7183dc18	1	Predicate has to be applied to node set	0x713523f4
0x7183dc40	2	Expected ']' to match an opening '['	0x71352404,0x71352b38
0x7183dc68	2	Step has to be applied to node set	0x7135244c,0x71352804
0x7183dc90	1	Union operator has to be applied to node sets	0x7135274c
0x7183dcc0	1	Predicates are not allowed after an abbreviated step	0x71352a6c
0x7183dcf8	1	Two axis specifiers in one step	0x71352b50
0x7183dd18	1	ancestor	0x71352adc
0x7183dd28	1	ancestor-or-self	0x71352af4
0x7183dd40	1	attribute	0x71352b0c
0x7183dd58	1	descendant	0x71352d0c
0x7183dd68	1	descendant-or-self	0x71352d24
0x7183dd80	1	following	0x71352d64
0x7183dd90	1	following-sibling	0x71352d7c
0x7183dda8	1	namespace	0x71352bb8
0x7183ddb8	1	parent	0x71352cbc
0x7183ddc0	1	preceding	0x71352cd4
0x7183ddd0	1	preceding-sibling	0x71352cec
0x7183ddf0	1	Unknown axis	0x71352b28
0x7183de00	2	Unrecognized node test	0x713527c4,0x71352bf4
0x7183de18	1	Unrecognized node type	0x71352c90
0x7183de30	1	Only literals are allowed as arguments to processing-instruc	0x71352b94
0x7183de78	1	Unmatched brace near processing-instruction()	0x71352c40
0x7183dea8	1	Unmatched brace near node type test	0x71352c04
0x7183ded0	1	xml:lang	0x71355670
0x7183dee0	1	Internal error	0x7135b040
0x7183def0	1	Incorrect query	0x7135b3cc
0x7183df00	1	ZIP file	0x7135e580
0x7183df10	1	    {:04d}	0x7136a0fc
0x7183df20	1	      {:02d}	0x7136a090
0x7183df30	1	   {:02d}:00	0x7136a038
0x7183df48	1	PlaySessionInfo	0x7136b0b8
0x7183df60	2	Read data >>>	0x71372cd4,0x713741d0
0x7183df70	1	Read data <<<	0x71372f9c
0x7183e040	1	{:>4}:{:02}	0x7137afb4
0x7183e060	1	{:>{}}. {}	0x7137d63c
0x7183e098	1	ExportSDK	0x7138ec7c
0x7183e0b0	1	MovingTitle	0x71394424
0x7183e0d0	6	tmp_lfs	0x7139c914,0x7139ca5c,0x7139cebc,0x7139cfd4,0x7139d738
0x7183e0e0	5	lfs_folder	0x7139c7f4,0x7139cc20,0x7139d600,0x7139d9c8,0x7139d9f4
0x7183e0f0	1	LFS+bin	0x7139ceac
0x7183e0f8	1	exefs.nsp	0x7139d40c
0x7183e108	1	CreateRepack	0x7139deec
0x7183e120	2	PackFolder	0x713afd10,0x715bea2c
0x7183e130	1	exefs/	0x713b068c
0x7183e138	1	X{:016X}	0x713bb3dc
0x7183e170	2	Deleting source folder...	0x713cc0b4,0x715ddbb8
0x7183e260	7	DumpForwarders	0x713ceea8,0x713cf048,0x71459e54,0x7153a9e8,0x7153adac
0x7183e270	1	Account:	0x713d2250
0x7183e2c0	1	[???? (	0x713e6c34
0x7183e300	3	Applications	0x713ec28c,0x713f8140,0x7141b3f0
0x7183e310	3	CalculateLFSSize	0x713ec29c,0x713f8154,0x7141b400
0x7183e348	1	 BID: -	0x713e7a68
0x7183e350	1	CheckIntegrity	0x71400010
0x7183e360	10	sdmc:/	0x714098ec,0x714099bc,0x71409a8c,0x71409c0c,0x714a8328
0x7183e3b8	3	Orientation	0x71412354,0x71412394,0x7144c018
0x7183e3c8	2	LogEvents	0x7141347c,0x715f5cf0
0x7183e3d8	2	HighlightUpdates	0x71413a7c,0x715e492c
0x7183e3f0	1	OptimizeClockSpeed	0x714146dc
0x7183e408	3	ROSaveFS	0x71415024,0x714b1cc0,0x714b3b34
0x7183e418	2	ShowUpdateFromHere	0x714155ec,0x715d87f0
0x7183e430	3	LogsFolder	0x71416180,0x715b2dcc,0x715f59f0
0x7183e440	2	sdmc:/switch/DBI/logs/	0x71416190,0x715f5a14
0x7183e458	3	VersionsURL	0x7141709c,0x71563f68,0x7157c520
0x7183e468	1	https://raw.githubusercontent.com/blawar/titledb/master/vers	0x714170ac
0x7183e4b0	2	ShowCacheWarmingIndicator	0x71417658,0x715eb704
0x7183e4d0	4	MoveDownAfterX	0x71417db8,0x7149bb7c,0x715aac0c,0x715edd98
0x7183e4e0	2	Secondcursor	0x714195a8,0x715e10f0
0x7183e4f0	1	TimeShow	0x71419cf0
0x7183e500	2	TimeShowSeconds	0x7141a0b0,0x715ea7a8
0x7183e510	2	AutoSaveBackupInterval	0x7141a7f0,0x714824a0
0x7183e528	1	MACasTID	0x7141ec1c
0x7183e538	4	TurnOffScreen	0x7141f000,0x7142592c,0x714500d0,0x714a80fc
0x7183e548	1	Android extensions	0x7141f11c
0x7183e560	16	MainMenu	0x7141faf4,0x71492030,0x714923e0,0x714927ec,0x71492bec
0x7183e570	2	BrowseSD	0x7141fb1c,0x71492040
0x7183e580	2	BrowseSystem	0x7142009c,0x714923f0
0x7183e590	2	BrowseUser	0x7142062c,0x714927fc
0x7183e5a0	2	USBHost	0x71420be4,0x71492bfc
0x7183e5a8	2	BackendInstall	0x714211cc,0x71493940
0x7183e5b8	2	GameCard	0x71421730,0x71496970
0x7183e5c8	2	Network	0x71421b3c,0x71496f30
0x7183e5d0	2	BrowseApps	0x71422664,0x71493d58
0x7183e5e8	2	Tickets	0x71422c98,0x71494474
0x7183e5f8	2	MTP Storages	0x71424760,0x714a702c
0x7183e608	2	1: SD Card	0x71424770,0x714a7070
0x7183e618	1	SD Card	0x71424780
0x7183e620	3	2: Nand USER	0x71424868,0x714a7200,0x714a7294
0x7183e630	1	Nand USER	0x71424878
0x7183e640	3	3: Nand SYSTEM	0x71424960,0x714a7350,0x714a73d4
0x7183e650	1	Nand SYSTEM	0x71424970
0x7183e660	2	4: Installed games	0x71424a54,0x714a74b4
0x7183e678	1	SD Card install	0x71424a9c
0x7183e688	3	5: SD Card install	0x71424aa4,0x714a7648,0x714a76cc
0x7183e6a0	3	6: NAND install	0x71424afc,0x714a7748,0x714a77c0
0x7183e6b0	1	NAND install	0x71424b0c
0x7183e6c0	2	7: Saves	0x71424be8,0x714a78b4
0x7183e6d8	2	8: Album	0x71424c44,0x714a79a4
0x7183e6e8	2	9: Gamecard	0x71424c9c,0x714a7a20
0x7183e6f8	1	Gamecard	0x71424cac
0x7183e708	2	CustomStorages	0x714250a4,0x714a8078
0x7183e728	1	Password	0x71427ee8
0x7183e738	2	Hyphenation	0x714293c0,0x71658378
0x7183e768	1	ContentInfo	0x7142f7b4
0x7183e778	1	Application [	0x7142f8c4
0x7183e790	1	control.nacp	0x7142f9c0
0x7183e7a0	1	Storage record [	0x7142fb98
0x7183e7b8	1	Type   : Application	0x7143255c
0x7183e7d0	1	Type   : Update	0x7142fc18
0x7183e7e0	1	Type   : AddOnContent	0x71432574
0x7183e7f8	1	Type   : AddOnUpdate	0x7142fdbc
0x7183e810	1	Version:	0x7142fccc
0x7183e820	1	Storage:	0x7142fd04
0x7183e830	1	Content records ({})	0x7142febc
0x7183e848	1	-------------------	0x7142fee0
0x7183e860	1	ContentId  :	0x7142ff14
0x7183e870	1	Record size:	0x71430004
0x7183e880	1	Actual size:	0x71430168
0x7183e890	1	Type       :	0x714301d4
0x7183e8a0	1	ProgramId  :	0x71430228
0x7183e8b0	1	Reading NCA...	0x714302b0
0x7183e8c0	1	Distribution type :	0x71430334
0x7183e8d8	1	Content type      :	0x7143038c
0x7183e8f0	1	Key generation old:	0x714303e0
0x7183e908	1	kaek index        :	0x71430434
0x7183e920	1	Content size      :	0x71430504
0x7183e938	1	Program ID        :	0x714305a4
